time="2026-09-16T08:58:04Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
time="2026-09-16T08:58:04Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.hardware.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
cray-reds-vault-loader-1  | Connecting to Vault...
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 4
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 5
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 6
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 7
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 8
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 9
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 10
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 11
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 12
x3000c0s5b0-1             | INFO:root:CreateEventService put called
x3000c0s5b0-1             | INFO:root:Using Proliant iLO redfish event schema
x3000c0s5b0-1             | INFO:root:Using Proliant iLO redfish event schema
x3000c0s5b0-1             | DEBUG:root:added config for AccountService/1 - Administrator
x3000c0s5b0-1             | DEBUG:root:added config for AccountService/2 - root
x3000c0s5b0-1             | DEBUG:root:added config for AccountService
x3000c0s5b0-1             | DEBUG:root:added config for SessionService
x3000c0s5b0-1             | INFO:root:CreateNetworkProtocol called
x3000c0s5b0-1             | DEBUG:root:added config for 1/NetworkProtocol
x3000c0s5b0-1             |  * Redfish endpoint at localhost:443
x3000c0s5b0-1             | DL325
x3000c0s5b0-1             |  * Use HTTPS
x3000c0s5b0-1             |  * Running in Redfish mode
x3000c0s5b0-1             |  * Serving Flask app 'g' (lazy loading)
x3000c0s5b0-1             |  * Environment: production
x3000c0s5b0-1             |    WARNING: This is a development server. Do not use it in a production deployment.
x3000c0s5b0-1             |    Use a production WSGI server instead.
x3000c0s5b0-1             |  * Debug mode: off
x3000c0s5b0-1             | INFO:werkzeug: * Running on all addresses (0.0.0.0)
x3000c0s5b0-1             |    WARNING: This is a development server. Do not use it in a production deployment.
x3000c0s5b0-1             |  * Running on https://127.0.0.1:443
x3000c0s5b0-1             |  * Running on https://172.18.0.18:443 (Press CTRL+C to quit)
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.40 - - [16/Sep/2026 08:29:13] "[32mGET /redfish/v1 HTTP/1.1[0m" 308 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.40 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/ HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "[32mGET /redfish/v1 HTTP/1.1[0m" 308 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/ HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/AccountService HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/SessionService HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:EventServiceAPI init called
x3000c0s5b0-1             | INFO:root:EventServiceAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/EventService HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/TaskService HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/UpdateService HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Chassis HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Chassis/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:PowerAPI init called
x3000c0s5b0-1             | INFO:root:PowerAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Chassis/1/Power HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Managers HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Managers/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Managers/1/EthernetInterfaces HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Managers/1/EthernetInterfaces/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Managers/1/EthernetInterfaces/2 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Managers/1/EthernetInterfaces/3 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:PowerAPI init called
x3000c0s5b0-1             | INFO:root:PowerAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Chassis/1/Power HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Chassis/1/Devices HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Chassis/1/Devices/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Chassis/1/Devices/2 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Chassis/1/Devices/3 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Chassis/1/Devices/4 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Chassis/1/Devices/5 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/EthernetInterfaces HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/EthernetInterfaces/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/EthernetInterfaces/2 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/EthernetInterfaces/3 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/EthernetInterfaces/4 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Processors HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Processors/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm2 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm3 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm5 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm9 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm16 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm4 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm10 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm11 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm13 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm14 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm6 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm7 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm8 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm12 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Memory/proc1dimm15 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.42 - - [16/Sep/2026 08:29:13] "GET /redfish/v1/Systems/1/Storage HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:29:30] "GET /redfish/v1/Managers/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:29:30] "GET /redfish/v1/Systems/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "GET /redfish/v1/EventService/Subscriptions HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "[33mGET /redfish/v1/Systems/Self HTTP/1.1[0m" 404 -
x3000c0s5b0-1             | INFO:root:EventServiceAPI init called
x3000c0s5b0-1             | INFO:root:EventServiceAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "GET /redfish/v1/EventService HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "[33mGET /redfish/v1/Chassis/RackMount/Baseboard HTTP/1.1[0m" 404 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "GET /redfish/v1/Registries/iLO HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "GET /redfish/v1/Chassis/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI POST called
x3000c0s5b0-1             | INFO:root:CreateSubscription called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "[35m[1mPOST /redfish/v1/EventService/Subscriptions HTTP/1.1[0m" 201 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "GET /redfish/v1/EventService/Subscriptions HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "GET /redfish/v1/EventService/Subscriptions/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "GET /redfish/v1/Registries/iLO HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:EventServiceAPI init called
x3000c0s5b0-1             | INFO:root:EventServiceAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "GET /redfish/v1/EventService HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "GET /redfish/v1/Registries/iLO HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI POST called
x3000c0s5b0-1             | INFO:root:CreateSubscription called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:29:39] "[35m[1mPOST /redfish/v1/EventService/Subscriptions HTTP/1.1[0m" 201 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:30:00] "GET /redfish/v1/Systems/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:30:00] "GET /redfish/v1/Managers/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.27 - - [16/Sep/2026 08:30:04] "GET /redfish/v1/EventService/Subscriptions HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:30:30] "GET /redfish/v1/Managers/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:30:30] "GET /redfish/v1/Systems/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:30:34] "GET /redfish/v1/EventService/Subscriptions HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:30:34] "GET /redfish/v1/EventService/Subscriptions/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:30:35] "GET /redfish/v1/Registries/iLO HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:30:35] "GET /redfish/v1/EventService/Subscriptions HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:30:35] "GET /redfish/v1/EventService/Subscriptions/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:30:35] "GET /redfish/v1/Registries/iLO HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:30:35] "GET /redfish/v1/EventService/Subscriptions/2 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:30:35] "GET /redfish/v1/Registries/iLO HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.44 - - [16/Sep/2026 08:30:54] "[31m[1mGET /redfish/v1/Chassis/RackMount HTTP/1.1[0m" 401 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.44 - - [16/Sep/2026 08:30:54] "[31m[1mGET /redfish/v1/Chassis/1 HTTP/1.1[0m" 401 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.44 - - [16/Sep/2026 08:30:54] "[31m[1mGET /redfish/v1/Chassis/Self HTTP/1.1[0m" 401 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.44 - - [16/Sep/2026 08:30:54] "[31m[1mGET /redfish/v1/Chassis/Enclosure HTTP/1.1[0m" 401 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.44 - - [16/Sep/2026 08:30:54] "[31m[1mGET /redfish/v1/UpdateService/FirmwareInventory HTTP/1.1[0m" 401 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:31:00] "GET /redfish/v1/Managers/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:31:00] "GET /redfish/v1/Systems/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.44 - - [16/Sep/2026 08:31:05] "[31m[1mGET /redfish/v1/Chassis/Self HTTP/1.1[0m" 401 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.44 - - [16/Sep/2026 08:31:05] "[31m[1mGET /redfish/v1/Chassis/Enclosure HTTP/1.1[0m" 401 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.44 - - [16/Sep/2026 08:31:05] "[31m[1mGET /redfish/v1/Chassis/RackMount HTTP/1.1[0m" 401 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.44 - - [16/Sep/2026 08:31:05] "[31m[1mGET /redfish/v1/Chassis/1 HTTP/1.1[0m" 401 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.44 - - [16/Sep/2026 08:31:05] "[31m[1mGET /redfish/v1/UpdateService/FirmwareInventory HTTP/1.1[0m" 401 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:31:30] "GET /redfish/v1/Managers/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:31:30] "GET /redfish/v1/Systems/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:32:00] "GET /redfish/v1/Managers/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:32:00] "GET /redfish/v1/Systems/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:32:14] "GET /redfish/v1/EventService/Subscriptions HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:32:14] "GET /redfish/v1/EventService/Subscriptions/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:32:15] "GET /redfish/v1/Registries/iLO HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:32:15] "GET /redfish/v1/EventService/Subscriptions HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:32:15] "GET /redfish/v1/EventService/Subscriptions/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:32:15] "GET /redfish/v1/Registries/iLO HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:32:15] "GET /redfish/v1/EventService/Subscriptions/2 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:32:15] "GET /redfish/v1/Registries/iLO HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:32:30] "GET /redfish/v1/Managers/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:32:30] "GET /redfish/v1/Systems/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:33:00] "GET /redfish/v1/Systems/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:33:01] "GET /redfish/v1/Managers/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:33:31] "GET /redfish/v1/Managers/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.26 - - [16/Sep/2026 08:33:31] "GET /redfish/v1/Systems/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:33:54] "GET /redfish/v1/EventService/Subscriptions HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:33:54] "GET /redfish/v1/EventService/Subscriptions/1 HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:33:55] "GET /redfish/v1/Registries/iLO HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionCollectionAPI GET called
x3000c0s5b0-1             | INFO:werkzeug:172.18.0.31 - - [16/Sep/2026 08:33:55] "GET /redfish/v1/EventService/Subscriptions HTTP/1.1" 200 -
x3000c0s5b0-1             | INFO:root:SubscriptionAPI init called
x3000c0s5b0-1             | INFO:root:SubscriptionAPI GET called
