time="2026-02-27T17:44:59Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
time="2026-02-27T17:44:59Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.hardware.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
api-gateway-1  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s0b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 29#29: *3 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 29#29: *3 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s1b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 31#31: *5 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 31#31: *5 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s1b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 32#32: *7 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 32#32: *7 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s2b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *9 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *9 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s2b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *11 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *11 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s3b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *13 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *13 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s3b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *15 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *15 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s4b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *17 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *17 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s4b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *19 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *19 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s5b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *21 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *21 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s5b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *23 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *23 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s6b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *25 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *25 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s6b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *27 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *27 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s7b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *29 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *29 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x1000c0s7b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *31 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *31 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x3000c0s5b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 592 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *33 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *33 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:34 +0000] "GET /x3000c0s6b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 592 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *35 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:34 [info] 30#30: *35 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 510 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 30#30: *37 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 30#30: *37 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s0b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 30#30: *39 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 30#30: *39 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s0b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *41 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *41 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s1b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *43 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *43 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s1b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *45 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *45 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s2b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *47 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *47 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s2b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *49 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *49 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s3b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *51 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *51 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s3b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *53 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *53 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s4b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *55 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *55 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s4b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *57 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *57 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s5b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *59 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *59 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s5b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *61 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *61 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s6b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *63 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *63 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s6b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *65 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *65 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s7b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *67 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *67 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.1 - - [27/Feb/2026:17:16:39 +0000] "GET /x1000c0s7b1/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 511 "-" "python-requests/2.32.5" "-"
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *69 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *69 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *71 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/02/27 17:16:39 [info] 29#29: *71 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 172.18.0.7 - - [27/Feb/2026:17:18:29 +0000] "POST /x1000c0s5b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.7 - - [27/Feb/2026:17:18:29 +0000] "POST /x1000c0s5b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.7 - - [27/Feb/2026:17:19:01 +0000] "POST /x1000c0s5b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.7 - - [27/Feb/2026:17:19:01 +0000] "POST /x1000c0s5b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.2 - - [27/Feb/2026:17:19:34 +0000] "POST /x1000c0s3b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.2 - - [27/Feb/2026:17:19:34 +0000] "POST /x1000c0s3b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.2 - - [27/Feb/2026:17:19:34 +0000] "POST /x1000c0s3b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.2 - - [27/Feb/2026:17:19:34 +0000] "POST /x1000c0s3b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.10 - - [27/Feb/2026:17:20:07 +0000] "POST /x1000c0b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.10 - - [27/Feb/2026:17:20:07 +0000] "POST /x1000c0b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.10 - - [27/Feb/2026:17:20:40 +0000] "POST /x1000c0b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.10 - - [27/Feb/2026:17:20:40 +0000] "POST /x1000c0b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.3 - - [27/Feb/2026:17:21:12 +0000] "POST /x1000c0s6b1 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.3 - - [27/Feb/2026:17:21:12 +0000] "POST /x1000c0s6b1 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.3 - - [27/Feb/2026:17:21:13 +0000] "POST /x1000c0s6b1 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.3 - - [27/Feb/2026:17:21:13 +0000] "POST /x1000c0s6b1 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.3 - - [27/Feb/2026:17:21:30 +0000] "POST /x1000c0s6b1 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.3 - - [27/Feb/2026:17:21:30 +0000] "POST /x1000c0s6b1 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.4 - - [27/Feb/2026:17:22:03 +0000] "POST /x1000c0s7b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.4 - - [27/Feb/2026:17:22:03 +0000] "POST /x1000c0s7b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.4 - - [27/Feb/2026:17:22:03 +0000] "POST /x1000c0s7b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.4 - - [27/Feb/2026:17:22:03 +0000] "POST /x1000c0s7b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.4 - - [27/Feb/2026:17:22:35 +0000] "POST /x1000c0s7b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.4 - - [27/Feb/2026:17:22:35 +0000] "POST /x1000c0s7b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.4 - - [27/Feb/2026:17:22:35 +0000] "POST /x1000c0s7b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.4 - - [27/Feb/2026:17:22:35 +0000] "POST /x1000c0s7b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.10 - - [27/Feb/2026:17:23:07 +0000] "POST /x1000c0b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.10 - - [27/Feb/2026:17:23:07 +0000] "POST /x1000c0b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.10 - - [27/Feb/2026:17:23:39 +0000] "POST /x1000c0b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.10 - - [27/Feb/2026:17:23:39 +0000] "POST /x1000c0b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.10 - - [27/Feb/2026:17:24:10 +0000] "POST /x1000c0b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.10 - - [27/Feb/2026:17:24:10 +0000] "POST /x1000c0b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.3 - - [27/Feb/2026:17:24:43 +0000] "POST /x1000c0s6b1 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.3 - - [27/Feb/2026:17:24:43 +0000] "POST /x1000c0s6b1 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.9 - - [27/Feb/2026:17:24:45 +0000] "POST /x1000c0s4b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.9 - - [27/Feb/2026:17:24:45 +0000] "POST /x1000c0s4b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.9 - - [27/Feb/2026:17:25:00 +0000] "POST /x1000c0s4b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.9 - - [27/Feb/2026:17:25:00 +0000] "POST /x1000c0s4b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.9 - - [27/Feb/2026:17:25:32 +0000] "POST /x1000c0s4b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.9 - - [27/Feb/2026:17:25:32 +0000] "POST /x1000c0s4b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.9 - - [27/Feb/2026:17:26:06 +0000] "POST /x1000c0s4b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.9 - - [27/Feb/2026:17:26:06 +0000] "POST /x1000c0s4b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.20 - - [27/Feb/2026:17:26:06 +0000] "POST /x1000c0s1b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.20 - - [27/Feb/2026:17:26:06 +0000] "POST /x1000c0s1b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.9 - - [27/Feb/2026:17:26:36 +0000] "POST /x1000c0s4b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.9 - - [27/Feb/2026:17:26:36 +0000] "POST /x1000c0s4b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.20 - - [27/Feb/2026:17:26:36 +0000] "POST /x1000c0s1b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.20 - - [27/Feb/2026:17:26:36 +0000] "POST /x1000c0s1b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.20 - - [27/Feb/2026:17:27:17 +0000] "POST /x1000c0s1b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.20 - - [27/Feb/2026:17:27:17 +0000] "POST /x1000c0s1b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.20 - - [27/Feb/2026:17:27:29 +0000] "POST /x1000c0s1b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
api-gateway-1  | 172.18.0.20 - - [27/Feb/2026:17:27:29 +0000] "POST /x1000c0s1b0 HTTP/1.1" 200 0 "-" "Python-urllib/3.10" "-"
cray-shared-kafka-zookeeper-1  | ===> User
cray-shared-kafka-zookeeper-1  | uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
cray-shared-kafka-zookeeper-1  | ===> Configuring ...
cray-shared-kafka-zookeeper-1  | ===> Running preflight checks ... 
cray-shared-kafka-zookeeper-1  | ===> Check if /var/lib/zookeeper/data is writable ...
cray-shared-kafka-zookeeper-1  | ===> Check if /var/lib/zookeeper/log is writable ...
cray-shared-kafka-zookeeper-1  | ===> Launching ... 
cray-shared-kafka-zookeeper-1  | ===> Launching zookeeper ... 
cray-shared-kafka-zookeeper-1  | [2026-02-27 17:15:30,052] INFO Reading configuration from: /etc/kafka/zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
cray-shared-kafka-zookeeper-1  | [2026-02-27 17:15:30,067] INFO clientPortAddress is 0.0.0.0:2181 (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
cray-shared-kafka-zookeeper-1  | [2026-02-27 17:15:30,067] INFO secureClientPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
